LOTID5	PROCESS_ID_LX562150_PROCESS_ID_MAX	ET_TIME_LX562150_TKOUT_TIME_MAX	WAFER_ID	D120_M1_4b_ult_PD_Idsat	D120_M1_4b_ult_PD_Vtsat	D120_M1_4b_ult_PG_Idsat	D120_M1_4b_ult_PG_Vtsat	D120_M1_4b_ult_PU_Idsat	D120_M1_4b_ult_PU_Vtsat	EGN_2/0.15_Vtsat	EGN_2/2_Vtlin	EGN_Tox_inv	EGP_2/0.45_Vtsat	EGP_2/2_Vtlin	EGP_Tox_inv	HVN_AS_10/2.6x1_Vtsat	HVP_S_10/2x1_Vtsat	HVTN_0.21/0.03x7_Vtsat	HVTN_1/1_Vtlin	HVTN_Cov	HVTN_Covdd	HVTP_0.3/0.03x5_Vtsat	HVTP_1/1_Vtlin	HVTP_Cov	HVTP_Covdd	Leff_N	Leff_P	SGN_Tox_inv	SGP_Tox_inv	UMVN_10/10x1_Vtlin	UMVP_10/10x1_Vtlin	date	month	date_lot
S63B1	UXU6	01/07/2017 05:00	4																									13.372	16.137			1	7	7/01_S63B1
S63B1	UXU6	01/07/2017 05:11	5																									13.366	16.158			1	7	7/01_S63B1
S63B1	UXU6	01/07/2017 05:19	6																									13.43	16.197			1	7	7/01_S63B1
S63B1	UXU6	01/07/2017 05:28	7																									13.375	16.124			1	7	7/01_S63B1
S63B1	UXU6	01/07/2017 05:38	8																									13.389	16.279			1	7	7/01_S63B1
S63B1	UXU6	01/07/2017 07:00	13							0.518	0.552	36.026	0.466	0.537	40.41	0.879	1.062	0.473	0.41	0.211	1.063	0.391	0.52	0.271	0.974	24.761	20.18	13.305	16.094	0.886	0.875	1	7	7/01_S63B1
S63B1	UXU6	01/07/2017 07:25	16							0.522	0.56	36.352		0.531	40.918			0.489	0.415	0.205		0.374	0.521	0.266				13.387	16.381	0.893	0.883	1	7	7/01_S63B1
S6445	UXU6	01/07/2017 21:45	13							0.525	0.549	36.084	0.469	0.539	40.28	0.906	1.054	0.494	0.408	0.211	1.075	0.404	0.516	0.271	0.98	25.06	20.306	13.334	16.082	0.89	0.877	1	7	7/01_S6445
S6445	UXU6	01/07/2017 23:08	14							0.525	0.553	36.299	0.469	0.541	40.436	0.896	1.047	0.505	0.418	0.211	1.053	0.408	0.52	0.269	0.969	24.616	20.4	13.476	16.288	0.891	0.873	1	7	7/01_S6445
S65NG	UXU6	01/07/2017 15:35	13							0.525	0.562	35.811	0.45	0.526	40.408	0.898	1.079	0.472	0.416	0.214	1.077	0.387	0.51	0.281	0.979	24.865	19.629	13.235	16.109	0.93	0.889	1	7	7/01_S65NG
S65NG	UXU6	01/07/2017 16:00	22							0.514	0.553	35.992		0.536	40.436			0.48	0.422	0.213		0.371	0.517	0.279				13.404	16.301	0.934	0.894	1	7	7/01_S65NG
S65RP	UXU6	01/07/2017 00:18	1							0.512	0.542	35.674		0.543	40.077			0.478	0.415	0.211		0.38	0.529	0.275				13.371	16.159	0.919	0.887	1	7	7/01_S65RP
S65RP	UXU6	01/07/2017 02:00	13							0.511	0.541	35.629	0.47	0.542	40.125	0.87	1.089	0.489	0.415	0.204	1.028	0.38	0.521	0.269	0.96	24.189	19.701	13.379	16.206	0.903	0.878	1	7	7/01_S65RP
S63VY	UXU6	02/07/2017 02:01	5							0.503	0.546	35.749	0.46	0.53	40.079	0.878	1.056	0.473	0.402	0.21	1.049	0.381	0.521	0.271	0.966	24.08	19.646	13.248	16.057	0.891	0.861	2	7	7/02_S63VY
S63VY	UXU6	02/07/2017 02:27	8							0.523	0.554	36.141		0.526	40.251			0.485	0.412	0.21		0.394	0.518	0.281				13.222	16.048	0.887	0.861	2	7	7/02_S63VY
S63VY	UXU6	02/07/2017 03:49	13							0.514	0.549	35.713	0.462	0.533	39.908	0.882	1.05	0.484	0.416	0.211	1.067	0.399	0.522	0.278	0.978	24.816	19.829	13.27	16.187	0.879	0.855	2	7	7/02_S63VY
S6445	UXU6	02/07/2017 00:33	15							0.525	0.552	36.76	0.474	0.543	40.952	0.895	1.055	0.498	0.419	0.21	1.065	0.407	0.518	0.273	0.97	24.945	20.019	13.452	16.27	0.886	0.878	2	7	7/02_S6445
S6445	UXU6	02/07/2017 01:58	18							0.532	0.549	36.122	0.466	0.536	40.496	0.916	1.055	0.493	0.411	0.212	1.073	0.406	0.514	0.276	0.983	25.003	19.916	13.241	15.981	0.893	0.877	2	7	7/02_S6445
S6445	UXU6	02/07/2017 02:25	20							0.52	0.552	35.81		0.54	40.254			0.497	0.419	0.209		0.418	0.527	0.274				13.405	16.144	0.903	0.874	2	7	7/02_S6445
S5ZVW	UXU3	03/07/2017 22:57	13							0.508	0.541	36.3	0.48	0.549	40.719	0.874	1.085	0.482	0.425	0.208	1.046	0.391	0.525	0.281	0.952	24.412	18.613	13.342	16.284	0.877	0.89	3	7	7/03_S5ZVW
S5ZVW	UXU3	03/07/2017 23:22	20							0.509	0.543	36.45		0.548	40.972			0.473	0.42	0.213		0.382	0.522	0.283				13.362	16.243	0.877	0.888	3	7	7/03_S5ZVW
S60NT	UXU3	03/07/2017 21:07	5							0.518	0.549	36.22		0.553	40.792			0.493	0.43	0.207		0.408	0.526	0.28				13.399	16.24	0.897	0.876	3	7	7/03_S60NT
S60NT	UXU3	03/07/2017 23:19	13							0.514	0.552	36.401	0.481	0.552	40.752	0.864	1.08	0.505	0.43	0.207	1.049	0.407	0.531	0.285	0.963	24.729	18.528	13.418	16.277	0.896	0.878	3	7	7/03_S60NT
S63F6	UXU6	03/07/2017 17:41	11							0.506	0.546	35.66		0.529	39.941			0.493	0.428	0.21		0.405	0.527	0.284				13.471	16.311	0.906	0.864	3	7	7/03_S63F6
S63F6	UXU6	03/07/2017 19:04	13							0.508	0.546	35.567	0.447	0.521	39.794	0.877	1.052	0.496	0.426	0.206	1.046	0.388	0.525	0.276	0.957	24.566	19.306	13.482	16.455	0.906	0.865	3	7	7/03_S63F6
S63PH	UXU6	03/07/2017 20:33	3							0.517	0.555	36.154		0.536	40.543			0.492	0.423	0.209		0.38	0.513	0.269				13.4535	16.4335	0.897	0.876	3	7	7/03_S63PH
S63PH	UXU6	03/07/2017 20:42	4																									13.462	16.356			3	7	7/03_S63PH
